measures-as-group,financials.Country,Sum(financials.Gross Sales)
Gross Sales,United States of America,27269358
Gross Sales,Canada,26932163.5
Gross Sales,France,26081674.5
Gross Sales,Germany,24921467.5
Gross Sales,Mexico,22726935
COGS,United States of America,22034289.5
COGS,Canada,21358426
COGS,France,20573151.5
COGS,Germany,19824952
COGS,Mexico,18041829
" Sales",United States of America,25029830.165000007
" Sales",Canada,24887654.88499999
" Sales",France,24354172.28000001
" Sales",Germany,23505340.820000004
" Sales",Mexico,20949352.109999992
